Station,Month,Parameter,From,To,Date,Concentration
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-04,121.01
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-05,117.81
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-05,107.96
ANANDVIHAR,Dec,NO2, 02:00:00, 02:59:00,2015-12-05,92.03
ANANDVIHAR,Dec,NO2, 03:00:00, 03:59:00,2015-12-05,92.58
ANANDVIHAR,Dec,NO2, 04:00:00, 04:59:00,2015-12-05,85.08
ANANDVIHAR,Dec,NO2, 05:00:00, 05:59:00,2015-12-05,78.45
ANANDVIHAR,Dec,NO2, 06:00:00, 06:59:00,2015-12-05,92.35
ANANDVIHAR,Dec,NO2, 07:00:00, 07:59:00,2015-12-05,113.91
ANANDVIHAR,Dec,NO2, 08:00:00, 08:59:00,2015-12-05,162.18
ANANDVIHAR,Dec,NO2, 09:00:00, 09:59:00,2015-12-05,219.55
ANANDVIHAR,Dec,NO2, 10:00:00, 10:59:00,2015-12-05,197.02
ANANDVIHAR,Dec,NO2, 11:00:00, 11:59:00,2015-12-05,207.22
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-05,188.61
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-05,212.69
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-05,168.92
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-05,210.49
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-05,188.6
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-05,192.19
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-05,208.07
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-05,229.13
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-05,213.01
ANANDVIHAR,Dec,NO2, 21:00:00, 21:59:00,2015-12-05,209.85
ANANDVIHAR,Dec,NO2, 22:00:00, 22:59:00,2015-12-05,197.14
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-05,173.9
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-06,153.28
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-06,137.87
ANANDVIHAR,Dec,NO2, 11:00:00, 11:59:00,2015-12-06,75.97
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-06,72.33
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-06,56.28
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-06,63.34
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-06,79.16
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-06,130.25
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-06,147.91
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-06,144.04
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-06,132.4
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-06,123.59
ANANDVIHAR,Dec,NO2, 21:00:00, 21:59:00,2015-12-06,114.06
ANANDVIHAR,Dec,NO2, 22:00:00, 22:59:00,2015-12-06,123.12
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-06,103.82
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-07,88.36
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-07,93.33
ANANDVIHAR,Dec,NO2, 02:00:00, 02:59:00,2015-12-07,82.85
ANANDVIHAR,Dec,NO2, 03:00:00, 03:59:00,2015-12-07,67.78
ANANDVIHAR,Dec,NO2, 04:00:00, 04:59:00,2015-12-07,81.54
ANANDVIHAR,Dec,NO2, 05:00:00, 05:59:00,2015-12-07,86.53
ANANDVIHAR,Dec,NO2, 06:00:00, 06:59:00,2015-12-07,81.47
ANANDVIHAR,Dec,NO2, 07:00:00, 07:59:00,2015-12-07,91.11
ANANDVIHAR,Dec,NO2, 08:00:00, 08:59:00,2015-12-07,113.51
ANANDVIHAR,Dec,NO2, 09:00:00, 09:59:00,2015-12-07,107.73
ANANDVIHAR,Dec,NO2, 10:00:00, 10:59:00,2015-12-07,89.18
ANANDVIHAR,Dec,NO2, 11:00:00, 11:59:00,2015-12-07,304.98
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-07,254.68
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-07,293.89
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-07,286.57
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-07,322
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-07,400.24
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-07,499.97
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-07,509.95
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-07,573.82
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-07,563.83
ANANDVIHAR,Dec,NO2, 21:00:00, 21:59:00,2015-12-07,479.76
ANANDVIHAR,Dec,NO2, 22:00:00, 22:59:00,2015-12-07,564.43
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-07,549.54
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-08,444.94
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-08,407.14
ANANDVIHAR,Dec,NO2, 02:00:00, 02:59:00,2015-12-08,336.44
ANANDVIHAR,Dec,NO2, 03:00:00, 03:59:00,2015-12-08,319.27
ANANDVIHAR,Dec,NO2, 04:00:00, 04:59:00,2015-12-08,288.76
ANANDVIHAR,Dec,NO2, 05:00:00, 05:59:00,2015-12-08,299.32
ANANDVIHAR,Dec,NO2, 06:00:00, 06:59:00,2015-12-08,395.39
ANANDVIHAR,Dec,NO2, 07:00:00, 07:59:00,2015-12-08,433.58
ANANDVIHAR,Dec,NO2, 08:00:00, 08:59:00,2015-12-08,574.44
ANANDVIHAR,Dec,NO2, 09:00:00, 09:59:00,2015-12-08,524.3
ANANDVIHAR,Dec,NO2, 10:00:00, 10:59:00,2015-12-08,332.54
ANANDVIHAR,Dec,NO2, 11:00:00, 11:59:00,2015-12-08,353.84
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-08,139.52
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-08,175.56
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-08,229.8
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-08,292.33
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-08,322.98
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-08,326.28
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-08,239.13
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-08,230.15
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-08,207.9
ANANDVIHAR,Dec,NO2, 21:00:00, 21:59:00,2015-12-08,196.53
ANANDVIHAR,Dec,NO2, 22:00:00, 22:59:00,2015-12-08,195.38
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-08,158.82
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-09,163.83
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-09,134.72
ANANDVIHAR,Dec,NO2, 02:00:00, 02:59:00,2015-12-09,113.28
ANANDVIHAR,Dec,NO2, 03:00:00, 03:59:00,2015-12-09,93.16
ANANDVIHAR,Dec,NO2, 04:00:00, 04:59:00,2015-12-09,86.02
ANANDVIHAR,Dec,NO2, 05:00:00, 05:59:00,2015-12-09,80.39
ANANDVIHAR,Dec,NO2, 06:00:00, 06:59:00,2015-12-09,79.54
ANANDVIHAR,Dec,NO2, 07:00:00, 07:59:00,2015-12-09,94.77
ANANDVIHAR,Dec,NO2, 08:00:00, 08:59:00,2015-12-09,118.73
ANANDVIHAR,Dec,NO2, 09:00:00, 09:59:00,2015-12-09,104.43
ANANDVIHAR,Dec,NO2, 10:00:00, 10:59:00,2015-12-09,81.72
ANANDVIHAR,Dec,NO2, 11:00:00, 11:59:00,2015-12-09,97.96
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-09,88.05
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-09,96.27
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-09,100.3
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-09,97.12
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-09,94.43
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-09,83.56
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-09,92.19
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-09,79.54
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-09,88.17
ANANDVIHAR,Dec,NO2, 21:00:00, 21:59:00,2015-12-09,82.57
ANANDVIHAR,Dec,NO2, 22:00:00, 22:59:00,2015-12-09,82.92
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-09,82.2
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-10,90.54
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-10,84.59
ANANDVIHAR,Dec,NO2, 02:00:00, 02:59:00,2015-12-10,72.87
ANANDVIHAR,Dec,NO2, 03:00:00, 03:59:00,2015-12-10,71.48
ANANDVIHAR,Dec,NO2, 04:00:00, 04:59:00,2015-12-10,69.63
ANANDVIHAR,Dec,NO2, 05:00:00, 05:59:00,2015-12-10,71.03
ANANDVIHAR,Dec,NO2, 06:00:00, 06:59:00,2015-12-10,72.77
ANANDVIHAR,Dec,NO2, 07:00:00, 07:59:00,2015-12-10,90.46
ANANDVIHAR,Dec,NO2, 08:00:00, 08:59:00,2015-12-10,94.95
ANANDVIHAR,Dec,NO2, 09:00:00, 09:59:00,2015-12-10,93.28
ANANDVIHAR,Dec,NO2, 10:00:00, 10:59:00,2015-12-10,66.94
ANANDVIHAR,Dec,NO2, 11:00:00, 11:59:00,2015-12-10,72.27
ANANDVIHAR,Dec,NO2, 12:00:00, 12:59:00,2015-12-10,72.85
ANANDVIHAR,Dec,NO2, 13:00:00, 13:59:00,2015-12-10,71.67
ANANDVIHAR,Dec,NO2, 14:00:00, 14:59:00,2015-12-10,78.17
ANANDVIHAR,Dec,NO2, 15:00:00, 15:59:00,2015-12-10,82.78
ANANDVIHAR,Dec,NO2, 16:00:00, 16:59:00,2015-12-10,84.68
ANANDVIHAR,Dec,NO2, 17:00:00, 17:59:00,2015-12-10,108.47
ANANDVIHAR,Dec,NO2, 18:00:00, 18:59:00,2015-12-10,108.18
ANANDVIHAR,Dec,NO2, 19:00:00, 19:59:00,2015-12-10,116.75
ANANDVIHAR,Dec,NO2, 20:00:00, 20:59:00,2015-12-10,115.5
ANANDVIHAR,Dec,NO2, 21:00:00, 21:59:00,2015-12-10,106.88
ANANDVIHAR,Dec,NO2, 22:00:00, 22:59:00,2015-12-10,101.67
ANANDVIHAR,Dec,NO2, 23:00:00, 23:59:00,2015-12-10,91.1
ANANDVIHAR,Dec,NO2, 00:00:00, 00:59:00,2015-12-11,73.96
ANANDVIHAR,Dec,NO2, 01:00:00, 01:59:00,2015-12-11,70.5
ANANDVIHAR,Dec,NO2, 02:00:00, 02:59:00,2015-12-11,67.99
